Payment Advice number,Sendor mail,Original sendor mail,Vendor name (Payee name),Customer Name as per Payment advice,Entry type,Amount settled,Other document number,Invoice number
337027030,vendors@beco.co.in,noreply@amazon.com,KWICK LIVING (I) PRIVATE LIMITED(1MC3G),Clicktech Retail Private Limited,Invoice,66290.88,,B2B2526/1112548
337027030,vendors@beco.co.in,noreply@amazon.com,KWICK LIVING (I) PRIVATE LIMITED(1MC3G),Clicktech Retail Private Limited,TDS,-56.18,B2B2526/1112548-TDS-CM-9521,
337027030,vendors@beco.co.in,noreply@amazon.com,KWICK LIVING (I) PRIVATE LIMITED(1MC3G),Clicktech Retail Private Limited,Invoice,769610.16,,B2B2526/1112627
337027030,vendors@beco.co.in,noreply@amazon.com,KWICK LIVING (I) PRIVATE LIMITED(1MC3G),Clicktech Retail Private Limited,TDS,-652.21,B2B2526/1112627-TDS-CM-9274,
337027030,vendors@beco.co.in,noreply@amazon.com,KWICK LIVING (I) PRIVATE LIMITED(1MC3G),Clicktech Retail Private Limited,Invoice,731809.2,,B2B2526/1112665
337027030,vendors@beco.co.in,noreply@amazon.com,KWICK LIVING (I) PRIVATE LIMITED(1MC3G),Clicktech Retail Private Limited,TDS,-620.18,B2B2526/1112665-TDS-CM-6690,
337027030,vendors@beco.co.in,noreply@amazon.com,KWICK LIVING (I) PRIVATE LIMITED(1MC3G),Clicktech Retail Private Limited,Invoice,47444.42,,B2B2526/1112668
337027030,vendors@beco.co.in,noreply@amazon.com,KWICK LIVING (I) PRIVATE LIMITED(1MC3G),Clicktech Retail Private Limited,TDS,-40.21,B2B2526/1112668-TDS-CM-9664,
337027030,vendors@beco.co.in,noreply@amazon.com,KWICK LIVING (I) PRIVATE LIMITED(1MC3G),Clicktech Retail Private Limited,Invoice,66805.18,,B2B2526/1112683
337027030,vendors@beco.co.in,noreply@amazon.com,KWICK LIVING (I) PRIVATE LIMITED(1MC3G),Clicktech Retail Private Limited,TDS,-56.61,B2B2526/1112683-TDS-CM-9938,
337027030,vendors@beco.co.in,noreply@amazon.com,KWICK LIVING (I) PRIVATE LIMITED(1MC3G),Clicktech Retail Private Limited,Invoice,40922.4,,B2B2526/1112686
337027030,vendors@beco.co.in,noreply@amazon.com,KWICK LIVING (I) PRIVATE LIMITED(1MC3G),Clicktech Retail Private Limited,TDS,-34.68,B2B2526/1112686-TDS-CM-9669,
337027030,vendors@beco.co.in,noreply@amazon.com,KWICK LIVING (I) PRIVATE LIMITED(1MC3G),Clicktech Retail Private Limited,Invoice,300822.12,,B2B2526/1112687
337027030,vendors@beco.co.in,noreply@amazon.com,KWICK LIVING (I) PRIVATE LIMITED(1MC3G),Clicktech Retail Private Limited,TDS,-254.93,B2B2526/1112687-TDS-CM-6836,
337027030,vendors@beco.co.in,noreply@amazon.com,KWICK LIVING (I) PRIVATE LIMITED(1MC3G),Clicktech Retail Private Limited,Invoice,598727.28,,B2B2526/1112690
337027030,vendors@beco.co.in,noreply@amazon.com,KWICK LIVING (I) PRIVATE LIMITED(1MC3G),Clicktech Retail Private Limited,TDS,-507.4,B2B2526/1112690-TDS-CM-2451,
337027030,vendors@beco.co.in,noreply@amazon.com,KWICK LIVING (I) PRIVATE LIMITED(1MC3G),Clicktech Retail Private Limited,Invoice,669885.52,,B2B2526/1112692
337027030,vendors@beco.co.in,noreply@amazon.com,KWICK LIVING (I) PRIVATE LIMITED(1MC3G),Clicktech Retail Private Limited,TDS,-567.7,,B2B2526/1112692-TDS-CM-9218
337027030,vendors@beco.co.in,noreply@amazon.com,KWICK LIVING (I) PRIVATE LIMITED(1MC3G),Clicktech Retail Private Limited,Debit note,-1732.5,,KWIGM-BLR5-L-1771
337027030,vendors@beco.co.in,noreply@amazon.com,KWICK LIVING (I) PRIVATE LIMITED(1MC3G),Clicktech Retail Private Limited,Debit note,-3068.45,,KWIGM-CJB1-L-85
